contig,chr,cM
IWGSC_CSS_2BS_scaff_5171366,2B,0
IWGSC_CSS_2BS_scaff_5171390,2B,0
IWGSC_CSS_2BS_scaff_5171406,2B,0
IWGSC_CSS_2BS_scaff_5171497,2B,0
IWGSC_CSS_2BS_scaff_5171831,2B,0
IWGSC_CSS_2BS_scaff_5171983,2B,0
IWGSC_CSS_2BS_scaff_5172126,2B,0
IWGSC_CSS_2BS_scaff_5172282,2B,0
IWGSC_CSS_2BS_scaff_5172563,2B,0
IWGSC_CSS_2BS_scaff_5173014,2B,0
IWGSC_CSS_2BS_scaff_5173326,2B,0
IWGSC_CSS_2BS_scaff_5173607,2B,0
IWGSC_CSS_2BS_scaff_5173631,2B,0
IWGSC_CSS_2BS_scaff_5173827,2B,0
IWGSC_CSS_2BS_scaff_5174070,2B,0
IWGSC_CSS_2BS_scaff_5174120,2B,0
IWGSC_CSS_2BS_scaff_5174570,2B,0
IWGSC_CSS_2BS_scaff_5174811,2B,0
IWGSC_CSS_2BS_scaff_5174853,2B,0
IWGSC_CSS_2BS_scaff_5174949,2B,0
IWGSC_CSS_2BS_scaff_5175398,2B,0
IWGSC_CSS_2BS_scaff_5175604,2B,0
IWGSC_CSS_2BS_scaff_5175790,2B,0
IWGSC_CSS_2BS_scaff_5175903,2B,0
IWGSC_CSS_2BS_scaff_5175914,2B,0
IWGSC_CSS_2BS_scaff_5176066,2B,0
IWGSC_CSS_2BS_scaff_5176257,2B,0
IWGSC_CSS_2BS_scaff_5176550,2B,0
IWGSC_CSS_2BS_scaff_5176757,2B,0
IWGSC_CSS_2BS_scaff_5177241,2B,0
IWGSC_CSS_2BS_scaff_5177680,2B,0
IWGSC_CSS_2BS_scaff_5179188,2B,0
IWGSC_CSS_2BS_scaff_5179597,2B,0
IWGSC_CSS_2BS_scaff_5180242,2B,0
IWGSC_CSS_2BS_scaff_5180483,2B,0
IWGSC_CSS_2BS_scaff_5180507,2B,0
IWGSC_CSS_2BS_scaff_5180821,2B,0
IWGSC_CSS_2BS_scaff_5181402,2B,0
IWGSC_CSS_2BS_scaff_5181824,2B,0
IWGSC_CSS_2BS_scaff_5182267,2B,0
IWGSC_CSS_2BS_scaff_5182268,2B,0
IWGSC_CSS_2BS_scaff_5182273,2B,0
IWGSC_CSS_2BS_scaff_5182390,2B,0
IWGSC_CSS_2BS_scaff_5182405,2B,0
IWGSC_CSS_2BS_scaff_5182516,2B,0
IWGSC_CSS_2BS_scaff_5182524,2B,0
IWGSC_CSS_2BS_scaff_5182563,2B,0
IWGSC_CSS_2BS_scaff_5182643,2B,0
IWGSC_CSS_2BS_scaff_5183174,2B,0
IWGSC_CSS_2BS_scaff_5183223,2B,0
IWGSC_CSS_2BS_scaff_5183713,2B,0
IWGSC_CSS_2BS_scaff_5183734,2B,0
IWGSC_CSS_2BS_scaff_5183813,2B,0
IWGSC_CSS_2BS_scaff_5183835,2B,0
IWGSC_CSS_2BS_scaff_5183953,2B,0
IWGSC_CSS_2BS_scaff_5184053,2B,0
IWGSC_CSS_2BS_scaff_5184539,2B,0
IWGSC_CSS_2BS_scaff_5184703,2B,0
IWGSC_CSS_2BS_scaff_5184949,2B,0
IWGSC_CSS_2BS_scaff_5184951,2B,0
IWGSC_CSS_2BS_scaff_5185019,2B,0
IWGSC_CSS_2BS_scaff_5185112,2B,0
IWGSC_CSS_2BS_scaff_5185113,2B,0
IWGSC_CSS_2BS_scaff_5185419,2B,0
IWGSC_CSS_2BS_scaff_5185450,2B,0
IWGSC_CSS_2BS_scaff_5185574,2B,0
IWGSC_CSS_2BS_scaff_5185598,2B,0
IWGSC_CSS_2BS_scaff_5185618,2B,0
IWGSC_CSS_2BS_scaff_5186301,2B,0
IWGSC_CSS_2BS_scaff_5186779,2B,0
IWGSC_CSS_2BS_scaff_5186975,2B,0
IWGSC_CSS_2BS_scaff_5187224,2B,0
IWGSC_CSS_2BS_scaff_5187396,2B,0
IWGSC_CSS_2BS_scaff_5187746,2B,0
IWGSC_CSS_2BS_scaff_5187973,2B,0
IWGSC_CSS_2BS_scaff_5188092,2B,0
IWGSC_CSS_2BS_scaff_5188297,2B,0
IWGSC_CSS_2BS_scaff_5188341,2B,0
IWGSC_CSS_2BS_scaff_5188372,2B,0
IWGSC_CSS_2BS_scaff_5189060,2B,0
IWGSC_CSS_2BS_scaff_5189530,2B,0
IWGSC_CSS_2BS_scaff_5189594,2B,0
IWGSC_CSS_2BS_scaff_5189725,2B,0
IWGSC_CSS_2BS_scaff_5189821,2B,0
IWGSC_CSS_2BS_scaff_5189849,2B,0
IWGSC_CSS_2BS_scaff_5190117,2B,0
IWGSC_CSS_2BS_scaff_5191233,2B,0
IWGSC_CSS_2BS_scaff_5191292,2B,0
IWGSC_CSS_2BS_scaff_5191556,2B,0
IWGSC_CSS_2BS_scaff_5191666,2B,0
IWGSC_CSS_2BS_scaff_5192131,2B,0
IWGSC_CSS_2BS_scaff_5192159,2B,0
IWGSC_CSS_2BS_scaff_5192348,2B,0
IWGSC_CSS_2BS_scaff_5192454,2B,0
IWGSC_CSS_2BS_scaff_5192543,2B,0
IWGSC_CSS_2BS_scaff_5193122,2B,0
IWGSC_CSS_2BS_scaff_5193504,2B,0
IWGSC_CSS_2BS_scaff_5193569,2B,0
IWGSC_CSS_2BS_scaff_5193591,2B,0
IWGSC_CSS_2BS_scaff_5194068,2B,0
IWGSC_CSS_2BS_scaff_5194460,2B,0
IWGSC_CSS_2BS_scaff_5194907,2B,0
IWGSC_CSS_2BS_scaff_5195103,2B,0
IWGSC_CSS_2BS_scaff_5195255,2B,0
IWGSC_CSS_2BS_scaff_5195258,2B,0
IWGSC_CSS_2BS_scaff_5195638,2B,0
IWGSC_CSS_2BS_scaff_5196001,2B,0
IWGSC_CSS_2BS_scaff_5196592,2B,0
IWGSC_CSS_2BS_scaff_5197005,2B,0
IWGSC_CSS_2BS_scaff_5197092,2B,0
IWGSC_CSS_2BS_scaff_5197245,2B,0
IWGSC_CSS_2BS_scaff_5197268,2B,0
IWGSC_CSS_2BS_scaff_5197855,2B,0
IWGSC_CSS_2BS_scaff_5197969,2B,0
IWGSC_CSS_2BS_scaff_5197990,2B,0
IWGSC_CSS_2BS_scaff_5198394,2B,0
IWGSC_CSS_2BS_scaff_5198430,2B,0
IWGSC_CSS_2BS_scaff_5198465,2B,0
IWGSC_CSS_2BS_scaff_5198799,2B,0
IWGSC_CSS_2BS_scaff_5199049,2B,0
IWGSC_CSS_2BS_scaff_5199482,2B,0
IWGSC_CSS_2BS_scaff_5199688,2B,0
IWGSC_CSS_2BS_scaff_5199703,2B,0
IWGSC_CSS_2BS_scaff_5199877,2B,0
IWGSC_CSS_2BS_scaff_5199878,2B,0
IWGSC_CSS_2BS_scaff_5200600,2B,0
IWGSC_CSS_2BS_scaff_5200825,2B,0
IWGSC_CSS_2BS_scaff_5200965,2B,0
IWGSC_CSS_2BS_scaff_5201029,2B,0
IWGSC_CSS_2BS_scaff_5201071,2B,0
IWGSC_CSS_2BS_scaff_5201176,2B,0
IWGSC_CSS_2BS_scaff_5201280,2B,0
IWGSC_CSS_2BS_scaff_5201499,2B,0
IWGSC_CSS_2BS_scaff_5201885,2B,0
IWGSC_CSS_2BS_scaff_5202055,2B,0
IWGSC_CSS_2BS_scaff_5202242,2B,0
IWGSC_CSS_2BS_scaff_5202263,2B,0
IWGSC_CSS_2BS_scaff_5202280,2B,0
IWGSC_CSS_2BS_scaff_5202339,2B,0
IWGSC_CSS_2BS_scaff_5202372,2B,0
IWGSC_CSS_2BS_scaff_5202838,2B,0
IWGSC_CSS_2BS_scaff_5203197,2B,0
IWGSC_CSS_2BS_scaff_5204319,2B,0
IWGSC_CSS_2BS_scaff_5204430,2B,0
IWGSC_CSS_2BS_scaff_5204865,2B,0
IWGSC_CSS_2BS_scaff_5205023,2B,0
IWGSC_CSS_2BS_scaff_5205360,2B,0
IWGSC_CSS_2BS_scaff_5205780,2B,0
IWGSC_CSS_2BS_scaff_5205942,2B,0
IWGSC_CSS_2BS_scaff_5206360,2B,0
IWGSC_CSS_2BS_scaff_5206442,2B,0
IWGSC_CSS_2BS_scaff_5206735,2B,0
IWGSC_CSS_2BS_scaff_5206913,2B,0
IWGSC_CSS_2BS_scaff_5207312,2B,0
IWGSC_CSS_2BS_scaff_5207518,2B,0
IWGSC_CSS_2BS_scaff_5207935,2B,0
IWGSC_CSS_2BS_scaff_5208397,2B,0
IWGSC_CSS_2BS_scaff_5208444,2B,0
IWGSC_CSS_2BS_scaff_5208607,2B,0
IWGSC_CSS_2BS_scaff_5208643,2B,0
IWGSC_CSS_2BS_scaff_5209060,2B,0
IWGSC_CSS_2BS_scaff_5209647,2B,0
IWGSC_CSS_2BS_scaff_5210085,2B,0
IWGSC_CSS_2BS_scaff_5210183,2B,0
IWGSC_CSS_2BS_scaff_5210812,2B,0
IWGSC_CSS_2BS_scaff_5211215,2B,0
IWGSC_CSS_2BS_scaff_5211526,2B,0
IWGSC_CSS_2BS_scaff_5212126,2B,0
IWGSC_CSS_2BS_scaff_5212246,2B,0
IWGSC_CSS_2BS_scaff_5212423,2B,0
IWGSC_CSS_2BS_scaff_5212638,2B,0
IWGSC_CSS_2BS_scaff_5212639,2B,0
IWGSC_CSS_2BS_scaff_5212640,2B,0
IWGSC_CSS_2BS_scaff_5212735,2B,0
IWGSC_CSS_2BS_scaff_5213220,2B,0
IWGSC_CSS_2BS_scaff_5213280,2B,0
IWGSC_CSS_2BS_scaff_5213433,2B,0
IWGSC_CSS_2BS_scaff_5213516,2B,0
IWGSC_CSS_2BS_scaff_5213789,2B,0
IWGSC_CSS_2BS_scaff_5214183,2B,0
IWGSC_CSS_2BS_scaff_5214186,2B,0
IWGSC_CSS_2BS_scaff_5214488,2B,0
IWGSC_CSS_2BS_scaff_5214725,2B,0
IWGSC_CSS_2BS_scaff_5214915,2B,0
IWGSC_CSS_2BS_scaff_5214927,2B,0
IWGSC_CSS_2BS_scaff_5215029,2B,0
IWGSC_CSS_2BS_scaff_5215050,2B,0
IWGSC_CSS_2BS_scaff_5216877,2B,0
IWGSC_CSS_2BS_scaff_5217036,2B,0
IWGSC_CSS_2BS_scaff_5217058,2B,0
IWGSC_CSS_2BS_scaff_5217168,2B,0
IWGSC_CSS_2BS_scaff_5217213,2B,0
IWGSC_CSS_2BS_scaff_5217340,2B,0
IWGSC_CSS_2BS_scaff_5217560,2B,0
IWGSC_CSS_2BS_scaff_5217703,2B,0
IWGSC_CSS_2BS_scaff_5217919,2B,0
IWGSC_CSS_2BS_scaff_5218029,2B,0
IWGSC_CSS_2BS_scaff_5218135,2B,0
IWGSC_CSS_2BS_scaff_5218353,2B,0
IWGSC_CSS_2BS_scaff_5218468,2B,0
IWGSC_CSS_2BS_scaff_5218760,2B,0
IWGSC_CSS_2BS_scaff_5218802,2B,0
IWGSC_CSS_2BS_scaff_5218950,2B,0
IWGSC_CSS_2BS_scaff_5219207,2B,0
IWGSC_CSS_2BS_scaff_5219921,2B,0
IWGSC_CSS_2BS_scaff_5219974,2B,0
IWGSC_CSS_2BS_scaff_5220251,2B,0
IWGSC_CSS_2BS_scaff_5220651,2B,0
IWGSC_CSS_2BS_scaff_5220749,2B,0
IWGSC_CSS_2BS_scaff_5220979,2B,0
IWGSC_CSS_2BS_scaff_5221034,2B,0
IWGSC_CSS_2BS_scaff_5221246,2B,0
IWGSC_CSS_2BS_scaff_5221273,2B,0
IWGSC_CSS_2BS_scaff_5221913,2B,0
IWGSC_CSS_2BS_scaff_5222113,2B,0
IWGSC_CSS_2BS_scaff_5222199,2B,0
IWGSC_CSS_2BS_scaff_5222464,2B,0
IWGSC_CSS_2BS_scaff_5222589,2B,0
IWGSC_CSS_2BS_scaff_5222960,2B,0
IWGSC_CSS_2BS_scaff_5223257,2B,0
IWGSC_CSS_2BS_scaff_5223620,2B,0
IWGSC_CSS_2BS_scaff_5223676,2B,0
IWGSC_CSS_2BS_scaff_5224109,2B,0
IWGSC_CSS_2BS_scaff_5224333,2B,0
IWGSC_CSS_2BS_scaff_5224423,2B,0
IWGSC_CSS_2BS_scaff_5225359,2B,0
IWGSC_CSS_2BS_scaff_5225574,2B,0
IWGSC_CSS_2BS_scaff_5225575,2B,0
IWGSC_CSS_2BS_scaff_5225605,2B,0
IWGSC_CSS_2BS_scaff_5225919,2B,0
IWGSC_CSS_2BS_scaff_5225977,2B,0
IWGSC_CSS_2BS_scaff_5226156,2B,0
IWGSC_CSS_2BS_scaff_5226482,2B,0
IWGSC_CSS_2BS_scaff_5226584,2B,0
IWGSC_CSS_2BS_scaff_5226595,2B,0
IWGSC_CSS_2BS_scaff_5226765,2B,0
IWGSC_CSS_2BS_scaff_5226995,2B,0
IWGSC_CSS_2BS_scaff_5227679,2B,0
IWGSC_CSS_2BS_scaff_5227827,2B,0
IWGSC_CSS_2BS_scaff_5227870,2B,0
IWGSC_CSS_2BS_scaff_5228737,2B,0
IWGSC_CSS_2BS_scaff_5228788,2B,0
IWGSC_CSS_2BS_scaff_5229101,2B,0
IWGSC_CSS_2BS_scaff_5229990,2B,0
IWGSC_CSS_2BS_scaff_5230435,2B,0
IWGSC_CSS_2BS_scaff_5230731,2B,0
IWGSC_CSS_2BS_scaff_5231004,2B,0
IWGSC_CSS_2BS_scaff_5231890,2B,0
IWGSC_CSS_2BS_scaff_5232033,2B,0
IWGSC_CSS_2BS_scaff_5232058,2B,0
IWGSC_CSS_2BS_scaff_5232818,2B,0
IWGSC_CSS_2BS_scaff_5232968,2B,0
IWGSC_CSS_2BS_scaff_5233158,2B,0
IWGSC_CSS_2BS_scaff_5233246,2B,0
IWGSC_CSS_2BS_scaff_5234142,2B,0
IWGSC_CSS_2BS_scaff_5234370,2B,0
IWGSC_CSS_2BS_scaff_5234530,2B,0
IWGSC_CSS_2BS_scaff_5235180,2B,0
IWGSC_CSS_2BS_scaff_5235425,2B,0
IWGSC_CSS_2BS_scaff_5235529,2B,0
IWGSC_CSS_2BS_scaff_5237758,2B,0
IWGSC_CSS_2BS_scaff_5238100,2B,0
IWGSC_CSS_2BS_scaff_5238568,2B,0
IWGSC_CSS_2BS_scaff_5239130,2B,0
IWGSC_CSS_2BS_scaff_5239659,2B,0
IWGSC_CSS_2BS_scaff_5239845,2B,0
IWGSC_CSS_2BS_scaff_5239937,2B,0
IWGSC_CSS_2BS_scaff_5240627,2B,0
IWGSC_CSS_2BS_scaff_5241011,2B,0
IWGSC_CSS_2BS_scaff_5241242,2B,0
IWGSC_CSS_2BS_scaff_5241816,2B,0
IWGSC_CSS_2BS_scaff_5241842,2B,0
IWGSC_CSS_2BS_scaff_5241915,2B,0
IWGSC_CSS_2BS_scaff_5241916,2B,0
IWGSC_CSS_2BS_scaff_5242026,2B,0
IWGSC_CSS_2BS_scaff_5242027,2B,0
IWGSC_CSS_2BS_scaff_5242032,2B,0
IWGSC_CSS_2BS_scaff_5242227,2B,0
IWGSC_CSS_2BS_scaff_5242244,2B,0
IWGSC_CSS_2BS_scaff_5242368,2B,0
IWGSC_CSS_2BS_scaff_5242390,2B,0
IWGSC_CSS_2BS_scaff_5242406,2B,0
IWGSC_CSS_2BS_scaff_5242408,2B,0
IWGSC_CSS_2BS_scaff_5242472,2B,0
IWGSC_CSS_2BS_scaff_5242571,2B,0
IWGSC_CSS_2BS_scaff_5242887,2B,0
IWGSC_CSS_2BS_scaff_5242936,2B,0
IWGSC_CSS_2BS_scaff_5242942,2B,0
IWGSC_CSS_2BS_scaff_5242996,2B,0
IWGSC_CSS_2BS_scaff_5242997,2B,0
IWGSC_CSS_2BS_scaff_5242998,2B,0
IWGSC_CSS_2BS_scaff_5243141,2B,0
IWGSC_CSS_2BS_scaff_5243159,2B,0
IWGSC_CSS_2BS_scaff_5243274,2B,0
IWGSC_CSS_2BS_scaff_5243306,2B,0
IWGSC_CSS_2BS_scaff_5243308,2B,0
IWGSC_CSS_2BS_scaff_5243461,2B,0
IWGSC_CSS_2BS_scaff_5243472,2B,0
IWGSC_CSS_2BS_scaff_5243538,2B,0
IWGSC_CSS_2BS_scaff_5243563,2B,0
IWGSC_CSS_2BS_scaff_5243567,2B,0
IWGSC_CSS_2BS_scaff_5243568,2B,0
IWGSC_CSS_2BS_scaff_5243882,2B,0
IWGSC_CSS_2BS_scaff_5243950,2B,0
IWGSC_CSS_2BS_scaff_5244008,2B,0
IWGSC_CSS_2BS_scaff_5244010,2B,0
IWGSC_CSS_2BS_scaff_5244127,2B,0
IWGSC_CSS_2BS_scaff_5244177,2B,0
IWGSC_CSS_2BS_scaff_5244241,2B,0
IWGSC_CSS_2BS_scaff_5244243,2B,0
IWGSC_CSS_2BS_scaff_5244294,2B,0
IWGSC_CSS_2BS_scaff_5244313,2B,0
IWGSC_CSS_2BS_scaff_5244559,2B,0
IWGSC_CSS_2BS_scaff_5244585,2B,0
IWGSC_CSS_2BS_scaff_5244700,2B,0
IWGSC_CSS_2BS_scaff_5244741,2B,0
IWGSC_CSS_2BS_scaff_5244742,2B,0
IWGSC_CSS_2BS_scaff_5244808,2B,0
IWGSC_CSS_2BS_scaff_5244892,2B,0
IWGSC_CSS_2BS_scaff_5245119,2B,0
IWGSC_CSS_2BS_scaff_5245182,2B,0
IWGSC_CSS_2BS_scaff_5245183,2B,0
IWGSC_CSS_2BS_scaff_5245195,2B,0
IWGSC_CSS_2BS_scaff_5245244,2B,0
IWGSC_CSS_2BS_scaff_5245493,2B,0
IWGSC_CSS_2BS_scaff_5246048,2B,0
IWGSC_CSS_2BS_scaff_5246259,2B,0
IWGSC_CSS_2BS_scaff_5246349,2B,0
IWGSC_CSS_2BS_scaff_5246583,2B,0
IWGSC_CSS_2BS_scaff_5246797,2B,0
IWGSC_CSS_2BS_scaff_5246819,2B,0
IWGSC_CSS_2BS_scaff_5246892,2B,0
IWGSC_CSS_2BS_scaff_5246951,2B,0
IWGSC_CSS_2BS_scaff_5247327,2B,0
IWGSC_CSS_2BS_scaff_5247436,2B,0
IWGSC_CSS_2BS_scaff_5247476,2B,0
IWGSC_CSS_2BS_scaff_5247681,2B,0
IWGSC_CSS_2BS_scaff_679080,2B,0
IWGSC_CSS_2BS_scaff_876928,2B,0
IWGSC_CSS_2BS_scaff_886204,2B,0
IWGSC_CSS_2DL_scaff_9861346,2B,0
IWGSC_CSS_3B_scaff_10546211,2B,0
IWGSC_CSS_3B_scaff_10567511,2B,0
IWGSC_CSS_3B_scaff_10587732,2B,0
IWGSC_CSS_3B_scaff_10630692,2B,0
IWGSC_CSS_3B_scaff_10681916,2B,0
IWGSC_CSS_3B_scaff_10758767,2B,0
IWGSC_CSS_3B_scaff_10761861,2B,0
IWGSC_CSS_3B_scaff_10762139,2B,0
IWGSC_CSS_3DL_scaff_584510,2B,0
IWGSC_CSS_3DL_scaff_6897684,2B,0
IWGSC_CSS_4BS_scaff_4831016,2B,0
IWGSC_CSS_4BS_scaff_4877511,2B,0
IWGSC_CSS_4BS_scaff_4895413,2B,0
IWGSC_CSS_4BS_scaff_4929405,2B,0
IWGSC_CSS_4BS_scaff_4933462,2B,0
IWGSC_CSS_4BS_scaff_4934895,2B,0
IWGSC_CSS_4BS_scaff_4942545,2B,0
IWGSC_CSS_4BS_scaff_4949548,2B,0
IWGSC_CSS_5BL_scaff_2949599,2B,0
IWGSC_CSS_6BS_scaff_1203617,2B,0
IWGSC_CSS_6BS_scaff_2934986,2B,0
IWGSC_CSS_2BS_scaff_3781429,2B,2.279
IWGSC_CSS_2BS_scaff_407564,2B,2.279
IWGSC_CSS_2BS_scaff_5157588,2B,2.279
IWGSC_CSS_2BS_scaff_5168715,2B,2.279
IWGSC_CSS_2BS_scaff_5187791,2B,2.279
IWGSC_CSS_2BS_scaff_5190197,2B,2.279
IWGSC_CSS_2BS_scaff_5193698,2B,2.279
IWGSC_CSS_2BS_scaff_5203894,2B,2.279
IWGSC_CSS_2BS_scaff_5204669,2B,2.279
IWGSC_CSS_2BS_scaff_5211345,2B,2.279
IWGSC_CSS_2BS_scaff_5220423,2B,2.279
IWGSC_CSS_2BS_scaff_5223650,2B,2.279
IWGSC_CSS_2BS_scaff_5229225,2B,2.279
IWGSC_CSS_2BS_scaff_5241187,2B,2.279
IWGSC_CSS_2BS_scaff_5243029,2B,2.279
IWGSC_CSS_2BS_scaff_1218758,2B,4.558
IWGSC_CSS_2BS_scaff_2915884,2B,4.558
IWGSC_CSS_2BS_scaff_5127719,2B,4.558
IWGSC_CSS_2BS_scaff_5136445,2B,4.558
IWGSC_CSS_2BS_scaff_5154898,2B,4.558
IWGSC_CSS_2BS_scaff_5154928,2B,4.558
IWGSC_CSS_2BS_scaff_5155475,2B,4.558
IWGSC_CSS_2BS_scaff_5157270,2B,4.558
IWGSC_CSS_2BS_scaff_5157800,2B,4.558
IWGSC_CSS_2BS_scaff_5158641,2B,4.558
IWGSC_CSS_2BS_scaff_5160618,2B,4.558
IWGSC_CSS_2BS_scaff_5161308,2B,4.558
IWGSC_CSS_2BS_scaff_5161763,2B,4.558
IWGSC_CSS_2BS_scaff_5163519,2B,4.558
IWGSC_CSS_2BS_scaff_5163760,2B,4.558
IWGSC_CSS_2BS_scaff_5165466,2B,4.558
IWGSC_CSS_2BS_scaff_5165549,2B,4.558
IWGSC_CSS_2BS_scaff_5165639,2B,4.558
IWGSC_CSS_2BS_scaff_5166263,2B,4.558
IWGSC_CSS_2BS_scaff_5166800,2B,4.558
